--- my_trans.txt	2022-07-21 01:45:34.299445441 -0400
+++ ref_trans.txt	2022-07-21 01:45:20.255378778 -0400
@@ -1,219 +1,219 @@
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a2c,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a90,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+M 7ff000384,4 miss eviction hit 
+L 7ff000384,4 hit 
+S 7ff000388,4 miss eviction 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a30,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a64,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a34,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a74,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a38,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a84,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a3c,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a94,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+M 7ff000384,4 miss eviction hit 
+L 7ff000384,4 hit 
+S 7ff000388,4 miss eviction 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a40,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a68,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a44,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a78,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a48,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a88,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a4c,4 miss eviction 
+S 7ff00038c,4 miss eviction 
+L 7ff000388,4 miss eviction 
+L 7ff000370,8 miss eviction 
+L 7ff000384,4 miss eviction 
+L 7ff00038c,4 miss eviction 
+S 600a98,4 miss eviction 
+M 7ff000388,4 miss eviction hit 
+L 7ff000388,4 hit 
+M 7ff000384,4 miss eviction hit 
+L 7ff000384,4 hit 
+S 7ff000388,4 miss eviction 
+L 7ff000388,4 hit 
+L 7ff000384,4 miss eviction 
+L 7ff000378,8 miss eviction 
+L 7ff000388,4 miss eviction 
+L 600a50,4 miss eviction 
+S 7ff00038c,4 miss eviction 
